id,type,status,tier,title,price,price_display,bedrooms,bathrooms,garage,garden,pool,pet_friendly,property_type,suburb,city,province,description,imageUrl,image2,image3,agent_name,agent_phone,agent_agency,featured,date_listed
HC011,sale,active,basic,Paarl Winelands Family Home,2800000,"R 2,800,000",4,3,2,yes,yes,yes,house,Val de Vie,Paarl,Western Cape,"Modern family home in a secure estate with golf course, vineyards and equestrian centre.",https://res.cloudinary.com/dkn6tnxao/image/upload/c_fill/w_900/h_600/q_auto/f_auto/homesconnect/property-05-cape-dutch.jpg,,,Elsabe Smit,0824455667,Cape Heritage Realty,no,2026-05-09
HC012,sale,active,basic,Durbanville Townhouse,2100000,"R 2,100,000",3,2,2,yes,no,yes,townhouse,Sonstraal,Durbanville,Western Cape,"Light, modern townhouse close to top schools and the wine route.",https://res.cloudinary.com/dkn6tnxao/image/upload/c_fill/w_900/h_600/q_auto/f_auto/homesconnect/property-05-cape-dutch.jpg,,,Marius Joubert,0823344556,Atlantic Letting,no,2026-05-08
HC013,sale,active,basic,Bloubergstrand Beach Apartment,1950000,"R 1,950,000",2,2,1,no,yes,no,apartment,Bloubergstrand,Cape Town,Western Cape,Sunny apartment a short walk to the beach with Table Mountain views.,https://res.cloudinary.com/dkn6tnxao/image/upload/c_fill/w_900/h_600/q_auto/f_auto/homesconnect/property-03-kzn-ocean-modern.jpg,https://res.cloudinary.com/dkn6tnxao/image/upload/c_fill/w_900/h_600/q_auto/f_auto/homesconnect/property-06-cpt-mountain.jpg,,Marius Joubert,0823344556,Atlantic Letting,no,2026-05-07
HC014,rent,active,agency,Camps Bay Luxury Apartment,35000,"R 35,000/mo",3,3,2,no,yes,no,apartment,Camps Bay,Cape Town,Western Cape,"Designer apartment with sea views, infinity pool and 24/7 concierge.",https://res.cloudinary.com/dkn6tnxao/image/upload/c_fill/w_900/h_600/q_auto/f_auto/homesconnect/property-06-cpt-mountain.jpg,https://res.cloudinary.com/dkn6tnxao/image/upload/c_fill/w_900/h_600/q_auto/f_auto/homesconnect/property-03-kzn-ocean-modern.jpg,,Marius Joubert,0823344556,Atlantic Letting,yes,2026-05-12
HC015,sale,active,enhanced,Glenashley Family Home,2250000,"R 2,250,000",3,2,2,yes,yes,yes,house,Glenashley,Durban,KwaZulu-Natal,Subtropical garden home a short drive from the beachfront and uMhlanga Village.,https://res.cloudinary.com/dkn6tnxao/image/upload/c_fill/w_900/h_600/q_auto/f_auto/homesconnect/property-03-kzn-ocean-modern.jpg,,,Naidoo Pillay,0827788990,Coastal Homes,no,2026-05-11
HC016,sale,active,enhanced,Umhlanga Beachside Apartment,2400000,"R 2,400,000",2,2,1,no,yes,no,apartment,Umhlanga Rocks,Umhlanga,KwaZulu-Natal,Modern apartment with direct beach access and panoramic Indian Ocean views.,https://res.cloudinary.com/dkn6tnxao/image/upload/c_fill/w_900/h_600/q_auto/f_auto/homesconnect/property-03-kzn-ocean-modern.jpg,,,Naidoo Pillay,0827788990,Coastal Homes,yes,2026-05-13
HC017,sale,active,agency,Ballito Beachfront Family Home,3100000,"R 3,100,000",4,3,2,yes,yes,yes,house,Ballito,Ballito,KwaZulu-Natal,"Spacious home in Simbithi Eco-Estate, minutes from the sea.",https://res.cloudinary.com/dkn6tnxao/image/upload/c_fill/w_900/h_600/q_auto/f_auto/homesconnect/property-03-kzn-ocean-modern.jpg,https://res.cloudinary.com/dkn6tnxao/image/upload/c_fill/w_900/h_600/q_auto/f_auto/homesconnect/property-04-sandton-mansion.jpg,,Naidoo Pillay,0827788990,Coastal Homes,no,2026-05-09
HC018,sale,active,basic,Hillcrest Family Home,1850000,"R 1,850,000",3,2,2,yes,no,yes,house,Hillcrest,Durban,KwaZulu-Natal,Established family home in a leafy suburb close to top private schools.,https://res.cloudinary.com/dkn6tnxao/image/upload/c_fill/w_900/h_600/q_auto/f_auto/homesconnect/property-01-karoo-farmhouse.jpg,,,Naidoo Pillay,0827788990,Coastal Homes,no,2026-05-08
HC019,rent,active,basic,La Lucia Family Rental,18500,"R 18,500/mo",3,2,2,yes,yes,yes,house,La Lucia,Umhlanga,KwaZulu-Natal,"Family home in a quiet street, walking distance to the beach.",https://res.cloudinary.com/dkn6tnxao/image/upload/c_fill/w_900/h_600/q_auto/f_auto/homesconnect/property-03-kzn-ocean-modern.jpg,,,Naidoo Pillay,0827788990,Coastal Homes,no,2026-05-06
HC020,sale,active,enhanced,Vaalwater Bushveld Retreat,2800000,"R 2,800,000",4,3,2,yes,yes,yes,house,Vaalwater,Vaalwater,Limpopo,"Thatched bushveld home on a private game estate with infinity pool and sundowner deck.",https://res.cloudinary.com/dkn6tnxao/image/upload/c_fill/w_900/h_600/q_auto/f_auto/homesconnect/property-02-bushveld-lodge.jpg,https://res.cloudinary.com/dkn6tnxao/image/upload/c_fill/w_900/h_600/q_auto/f_auto/homesconnect/property-01-karoo-farmhouse.jpg,,Adriaan Botha,0829988776,Waterberg Realty,yes,2026-05-12
HC021,sale,active,basic,Lephalale Family Home,1200000,"R 1,200,000",3,2,2,yes,no,yes,house,Onverwacht,Lephalale,Limpopo,Comfortable family home close to schools and Medupi power station.,https://res.cloudinary.com/dkn6tnxao/image/upload/c_fill/w_900/h_600/q_auto/f_auto/homesconnect/property-01-karoo-farmhouse.jpg,,,Adriaan Botha,0829988776,Waterberg Realty,no,2026-05-07
HC022,sale,active,basic,Modimolle Starter Home,950000,"R 950,000",3,2,1,yes,no,yes,house,Nylstroom,Modimolle,Limpopo,Charming starter home with established garden in town.,https://res.cloudinary.com/dkn6tnxao/image/upload/c_fill/w_900/h_600/q_auto/f_auto/homesconnect/property-01-karoo-farmhouse.jpg,,,Adriaan Botha,0829988776,Waterberg Realty,no,2026-05-05
HC023,sale,active,basic,Port Elizabeth Family Home,1600000,"R 1,600,000",3,2,2,yes,no,yes,house,Walmer,Port Elizabeth,Eastern Cape,Well-loved home minutes from the beachfront and top schools.,https://res.cloudinary.com/dkn6tnxao/image/upload/c_fill/w_900/h_600/q_auto/f_auto/homesconnect/property-01-karoo-farmhouse.jpg,,,Yolanda Naude,0823344667,Bay Realty,no,2026-05-08
HC024,sale,active,basic,Bloemfontein Family Home,1350000,"R 1,350,000",4,2,2,yes,no,yes,house,Langenhoven Park,Bloemfontein,Free State,"Spacious face-brick home in a quiet, established neighbourhood.",https://res.cloudinary.com/dkn6tnxao/image/upload/c_fill/w_900/h_600/q_auto/f_auto/homesconnect/property-01-karoo-farmhouse.jpg,,,Johan Pretorius,0825566778,Free State Homes,no,2026-05-06
HC025,rent,active,basic,Potchefstroom Student Apartment,8500,"R 8,500/mo",2,1,1,no,no,no,apartment,Bult,Potchefstroom,North West,"Secure apartment close to NWU campus, ideal for students or young professionals.",https://res.cloudinary.com/dkn6tnxao/image/upload/c_fill/w_900/h_600/q_auto/f_auto/homesconnect/property-04-sandton-mansion.jpg,,,Johan Pretorius,0825566778,Free State Homes,no,2026-05-04
